source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Transit Amplifying,fibroblast,Bmp8b,ACVR1_BMPR2,4.024603526101244e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Stroma),fibroblast,Bmp8b,ACVR1_BMPR2,1.7633500857694516e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,fibroblast,Bmp8b,ACVR1_BMPR2,4.0473854244297555e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Secretory,fibroblast,Bmp8b,ACVR1_BMPR2,2.5273941119618537e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
ER Stress,fibroblast,Bmp8b,ACVR1_BMPR2,3.614974516336657e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Oncogene) 1,Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,4.512250907424804e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Transit Amplifying,Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,1.9823614520895466e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Stroma),Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,8.682920533316012e-5,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,1.9936800686592586e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Secretory,Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,1.2446417732942002e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
ER Stress,Stem (Oncogene) 1,Bmp8b,BMPR1A_BMPR2,1.7805591687205448e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Oncogene) 1,Stem (Reserve),Bmp8b,BMPR1A_BMPR2,0.0011899498953321546,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Transit Amplifying,Stem (Reserve),Bmp8b,BMPR1A_BMPR2,5.230060551593789e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Stroma),Stem (Reserve),Bmp8b,BMPR1A_BMPR2,2.29124625107824e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,Stem (Reserve),Bmp8b,BMPR1A_BMPR2,5.259763620892062e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Secretory,Stem (Reserve),Bmp8b,BMPR1A_BMPR2,3.284149954708983e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
ER Stress,Stem (Reserve),Bmp8b,BMPR1A_BMPR2,4.697703403968433e-4,0,BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Reserve),Stem (Oncogene) 1,Gdf15,Tgfbr2,0.004350913584527397,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Stem (Oncogene) 1,Gdf15,Tgfbr2,5.722549062876891e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Stem (Oncogene) 1,Gdf15,Tgfbr2,3.188733016309904e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Stem (Oncogene) 1,Gdf15,Tgfbr2,0.0015493251909601507,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Stem (Oncogene) 1,Gdf15,Tgfbr2,0.009177349767006763,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Stem (Oncogene) 2,Gdf15,Tgfbr2,0.004325805109270278,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Stem (Oncogene) 2,Gdf15,Tgfbr2,5.689400477599792e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Stem (Oncogene) 2,Gdf15,Tgfbr2,3.170257223414342e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Stem (Oncogene) 2,Gdf15,Tgfbr2,0.0015403592530253954,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Stem (Oncogene) 2,Gdf15,Tgfbr2,0.00912464390236493,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Stem (Reserve),Gdf15,Tgfbr2,0.0036434664448220214,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Stem (Reserve),Gdf15,Tgfbr2,4.7891222962131194e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Stem (Reserve),Gdf15,Tgfbr2,2.6684962804857803e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Stem (Reserve),Gdf15,Tgfbr2,0.0012968156564859513,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Stem (Reserve),Gdf15,Tgfbr2,0.007691198926460578,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Transit Amplifying,Gdf15,Tgfbr2,0.005541568463235218,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Transit Amplifying,Gdf15,Tgfbr2,7.296138188878595e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Transit Amplifying,Gdf15,Tgfbr2,4.0658557120375525e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Transit Amplifying,Gdf15,Tgfbr2,0.0019748284404638326,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Transit Amplifying,Gdf15,Tgfbr2,0.01167330397972175,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Stem (Stroma),Gdf15,Tgfbr2,0.004244653212429614,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Stem (Stroma),Gdf15,Tgfbr2,5.582272456807862e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Stem (Stroma),Gdf15,Tgfbr2,3.110548406026969e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Stem (Stroma),Gdf15,Tgfbr2,0.001511382866971883,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Stem (Stroma),Gdf15,Tgfbr2,0.008954275639163444,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Early Absorptive,Gdf15,Tgfbr2,0.0016399120518757024,0.03,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Early Absorptive,Gdf15,Tgfbr2,2.1518096459681996e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Early Absorptive,Gdf15,Tgfbr2,1.1988470693699793e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Early Absorptive,Gdf15,Tgfbr2,5.829373951080484e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Early Absorptive,Gdf15,Tgfbr2,0.0034695338363888778,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Late Absorptive,Gdf15,Tgfbr2,0.004810848571338456,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Late Absorptive,Gdf15,Tgfbr2,6.330019132620598e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Late Absorptive,Gdf15,Tgfbr2,3.527323929072036e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Late Absorptive,Gdf15,Tgfbr2,0.001713614040036395,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Late Absorptive,Gdf15,Tgfbr2,0.010142289990686332,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Secretory,Gdf15,Tgfbr2,0.0016953254781711137,0.02,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Secretory,Gdf15,Tgfbr2,2.2246276158202798e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,Secretory,Gdf15,Tgfbr2,1.2394204595185692e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,Secretory,Gdf15,Tgfbr2,6.026566930293687e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,Secretory,Gdf15,Tgfbr2,0.0035865489748218224,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),ER Stress,Gdf15,Tgfbr2,0.004692925034340476,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),ER Stress,Gdf15,Tgfbr2,6.174222338970456e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,ER Stress,Gdf15,Tgfbr2,3.440484368081417e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,ER Stress,Gdf15,Tgfbr2,0.00167148241527697,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,ER Stress,Gdf15,Tgfbr2,0.009894981512890479,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),fibroblast,Gdf15,Tgfbr2,0.006120223048640686,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),fibroblast,Gdf15,Tgfbr2,8.062079722517248e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Early Absorptive,fibroblast,Gdf15,Tgfbr2,4.492837782816713e-4,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Late Absorptive,fibroblast,Gdf15,Tgfbr2,0.002181858597089631,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
ER Stress,fibroblast,Gdf15,Tgfbr2,0.01288394351727163,0,GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Secreted Signaling,KEGG: mmu04350
Stem (Oncogene) 1,fibroblast,Wnt10a,FZD1_LRP6,5.815370595274102e-4,0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,fibroblast,Wnt10a,FZD1_LRP6,7.888350490394887e-4,0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),fibroblast,Wnt10a,FZD1_LRP6,0.0022380117511150905,0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Oncogene) 1,fibroblast,Wnt10a,FZD2_LRP6,3.4752745522199463e-4,0,WNT10A_FZD2_LRP6,Wnt10a  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,fibroblast,Wnt10a,FZD2_LRP6,4.715046677472861e-4,0,WNT10A_FZD2_LRP6,Wnt10a  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),fibroblast,Wnt10a,FZD2_LRP6,0.0013396917466271048,0,WNT10A_FZD2_LRP6,Wnt10a  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Oncogene) 1,Stem (Reserve),Wnt10a,FZD5_LRP6,3.4924478237776746e-4,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,Stem (Reserve),Wnt10a,FZD5_LRP6,4.7389090777434693e-4,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),Stem (Reserve),Wnt10a,FZD5_LRP6,0.0013476407149730656,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Oncogene) 1,Early Absorptive,Wnt10a,FZD5_LRP6,2.515026877529751e-4,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,Early Absorptive,Wnt10a,FZD5_LRP6,3.4129297375537135e-4,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),Early Absorptive,Wnt10a,FZD5_LRP6,9.711545119225394e-4,0,WNT10A_FZD5_LRP6,Wnt10a  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
fibroblast,fibroblast,Wnt4,FZD1_LRP6,0.0022758865400097253,0,WNT4_FZD1_LRP6,Wnt4  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
fibroblast,fibroblast,Wnt4,FZD2_LRP6,0.0013657063992188968,0,WNT4_FZD2_LRP6,Wnt4  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
fibroblast,Stem (Reserve),Wnt4,FZD5_LRP6,0.0013757912507005243,0,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
fibroblast,Early Absorptive,Wnt4,FZD5_LRP6,9.9244894037645e-4,0,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Reserve),fibroblast,Wnt7b,FZD1_LRP6,0.00124838550588266,0,WNT7B_FZD1_LRP6,Wnt7b  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,fibroblast,Wnt7b,FZD1_LRP6,3.6762388647192573e-4,0,WNT7B_FZD1_LRP6,Wnt7b  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),fibroblast,Wnt7b,FZD1_LRP6,0.0013431570484021328,0,WNT7B_FZD1_LRP6,Wnt7b  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Reserve),fibroblast,Wnt7b,FZD2_LRP6,7.467716490930561e-4,0,WNT7B_FZD2_LRP6,Wnt7b  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,fibroblast,Wnt7b,FZD2_LRP6,2.1964674775878384e-4,0,WNT7B_FZD2_LRP6,Wnt7b  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),fibroblast,Wnt7b,FZD2_LRP6,8.033008766766416e-4,0,WNT7B_FZD2_LRP6,Wnt7b  - (Fzd2+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Reserve),Stem (Reserve),Wnt7b,FZD5_LRP6,7.508947096880009e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,Stem (Reserve),Wnt7b,FZD5_LRP6,2.2070517059116375e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),Stem (Reserve),Wnt7b,FZD5_LRP6,8.076404642578931e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Reserve),Early Absorptive,Wnt7b,FZD5_LRP6,5.409634384068398e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Transit Amplifying,Early Absorptive,Wnt7b,FZD5_LRP6,1.5892341757015656e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Stem (Stroma),Early Absorptive,Wnt7b,FZD5_LRP6,5.81796051931491e-4,0,WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
fibroblast,fibroblast,Wnt5a,Fzd1,0.0011815374835705572,0,WNT5A_FZD1,Wnt5a  - Fzd1,ncWNT,Secreted Signaling,KEGG: mmu04310
fibroblast,fibroblast,Wnt5a,Fzd2,4.218013282430852e-4,0,WNT5A_FZD2,Wnt5a  - Fzd2,ncWNT,Secreted Signaling,KEGG: mmu04310
fibroblast,Stem (Reserve),Wnt5a,Fzd5,4.545353708426569e-4,0,WNT5A_FZD5,Wnt5a  - Fzd5,ncWNT,Secreted Signaling,KEGG: mmu04310
fibroblast,Early Absorptive,Wnt5a,Fzd5,2.2833267452584383e-4,0,WNT5A_FZD5,Wnt5a  - Fzd5,ncWNT,Secreted Signaling,KEGG: mmu04310
ER Stress,Stem (Reserve),Tgfa,Egfr,5.77671839623613e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
ER Stress,Transit Amplifying,Tgfa,Egfr,2.135449952601797e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
ER Stress,Stem (Stroma),Tgfa,Egfr,3.0251873522680846e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
ER Stress,Late Absorptive,Tgfa,Egfr,2.5281783885798174e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
ER Stress,Secretory,Tgfa,Egfr,3.5398208030675915e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
ER Stress,ER Stress,Tgfa,Egfr,2.1374710639052486e-4,0,TGFA_EGFR,Tgfa  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012
